sequenceID	Genotype
JF912190	SouthAmerica1
JF912187	SouthAmerica1
JF912189	SouthAmerica1
JF912180	SouthAmerica1
JF912182	SouthAmerica1
JF912185	SouthAmerica1
JF912179	SouthAmerica1
JF912184	SouthAmerica1
JF912183	SouthAmerica1
JF912186	SouthAmerica1
JF912188	SouthAmerica1
OR119828	SouthAmerica1
JF912181	SouthAmerica2
NC_002031	WestAfrica
AF094612	WestAfrica
JX898871	WestAfrica
JX898872	WestAfrica
AY640589	WestAfrica
JX898875	WestAfrica
JX898874	WestAfrica
JX898873	WestAfrica
AY572535	WestAfrica
AY603338	WestAfrica
JX898868	WestAfrica
JX898870	WestAfrica
JX898876	WestAfrica
JX898878	WestAfrica
JX898880	WestAfrica
JX898877	WestAfrica
JX898869	WestAfrica
U54798	WestAfrica
AY968064	EastAfrica
AY968065	EastAfrica
DQ235229	EastAfrica
JN620362	EastAfrica
